Trading Date,No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
2020-07-01,290,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,9350,0,01 Jul 2020,0,9400,9200,9200,-150,7022000,64950102500,5502,341.1,9225,19300,9200,85200,11661908000,11661908000,11661908000,4159700,2942400,138,1281600,2
2020-07-02,290,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,9200,0,02 Jul 2020,0,9550,9225,9550,350,7749600,73140777500,4191,354.0,9550,5157800,9475,200,11661908000,11661908000,11661908000,2122000,6057300,998800,9378572500,2
2020-07-03,290,ICBP,Indofood CBP Sukses Makmur Tbk.,--M5BX-1,9550,0,03 Jul 2020,0,9600,9400,9425,-125,3649100,34515442500,3185,349.4,9425,53700,9400,265700,11661908000,11661908000,11661908000,1995600,684500,0,0,0
2020-07-06,290,ICBP,Indofood CBP Sukses Makmur Tbk.,--M-1XDAF2000051--------------,9425,0,06 Jul 2020,0,9525,9400,9425,0,3042600,28669010000,2486,349.4,9450,154700,9425,95700,11661908000,11661908000,11661908000,986700,751200,85,799000,1
2020-07-07,290,ICBP,Indofood CBP Sukses Makmur Tbk.,--M-1XDAF2000051--------------,9425,0,07 Jul 2020,0,9500,9400,9500,75,6629600,62743707500,3758,352.2,9500,6291200,9475,128400,11661908000,11661908000,11661908000,2934600,5609500,248746,2343189500,3
2020-07-08,290,ICBP,Indofood CBP Sukses Makmur Tbk.,--M-1XDAF2000051--------------,9500,0,08 Jul 2020,0,9550,9300,9450,-50,9140000,86534147500,7517,350.3,9475,68200,9450,112300,11661908000,11661908000,11661908000,3882100,4323700,75105,709743950,4
2020-07-09,290,ICBP,Indofood CBP Sukses Makmur Tbk.,--M-1XDAF2000051--------------,9450,0,09 Jul 2020,0,9525,9350,9350,-100,5609200,52795672500,4437,346.6,9375,700,9350,179600,11661908000,11661908000,11661908000,2081100,1614900,172300,1614180000,2
2020-07-10,290,ICBP,Indofood CBP Sukses Makmur Tbk.,--M-1XDAF2000051--------------,9350,0,10 Jul 2020,0,9400,9200,9225,-125,6827600,63167747500,5019,342.0,9250,14800,9225,1449400,11661908000,11661908000,11661908000,1825600,1327400,140295,1336441250,3
2020-07-13,290,ICBP,Indofood CBP Sukses Makmur Tbk.,--M-1XDAF2000051--------------,9225,0,13 Jul 2020,0,9350,9225,9250,25,4046700,37548782500,2823,342.9,9275,5600,9250,731900,11661908000,11661908000,11661908000,1408800,1174400,10074,93684500,2
2020-07-14,290,ICBP,Indofood CBP Sukses Makmur Tbk.,--M-1XDAF2000051--------------,9250,0,14 Jul 2020,0,9450,9250,9450,200,4863900,45705787500,3110,350.3,9450,328800,9425,4400,11661908000,11661908000,11661908000,708300,1727600,500100,4702328600,3
2020-07-15,290,ICBP,Indofood CBP Sukses Makmur Tbk.,--M-1XDAF2000051--------------,9450,0,15 Jul 2020,0,9500,9425,9450,0,5436400,51466675000,3304,350.3,9475,226800,9450,98000,11661908000,11661908000,11661908000,669000,2860300,75,703575,1
2020-07-16,290,ICBP,Indofood CBP Sukses Makmur Tbk.,--M-1XDAF2000051--------------,9450,0,16 Jul 2020,0,9650,9450,9575,125,12667900,121258677500,4867,355.0,9575,150400,9550,6400,11661908000,11661908000,11661908000,1930600,6559500,286800,2740795600,4
2020-07-17,290,ICBP,Indofood CBP Sukses Makmur Tbk.,--M-1XDAF2000051--------------,9575,0,17 Jul 2020,0,9650,9125,9275,-300,18966400,176994885000,10558,343.8,9300,145500,9275,803700,11661908000,11661908000,11661908000,1861500,1608700,1000,9500000,1
2020-07-20,290,ICBP,Indofood CBP Sukses Makmur Tbk.,--M-1XDAF2000051--------------,9275,0,20 Jul 2020,0,9425,9225,9325,50,13802800,128653360000,5798,345.7,9325,196700,9300,80900,11661908000,11661908000,11661908000,3363400,7893300,795943,7430580100,3
