[train_mean][TCN efficiency] Running on device: cpu
[train_mean][TCN efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_mean] Epoch 082 | train=0.000128 | val=RMSE:370.85|MAE:328.53|MAPE:3.28% | epoch_time=0.80s
[efficiency_mean] Epoch 083 | train=0.000153 | val=RMSE:356.61|MAE:314.56|MAPE:3.14% | epoch_time=0.80s
[efficiency_mean] Epoch 084 | train=0.000163 | val=RMSE:257.75|MAE:219.08|MAPE:2.19% | epoch_time=0.79s
[efficiency_mean] Epoch 085 | train=0.000125 | val=RMSE:356.21|MAE:313.31|MAPE:3.13% | epoch_time=0.80s
[efficiency_mean] Epoch 086 | train=0.000124 | val=RMSE:288.10|MAE:246.71|MAPE:2.47% | epoch_time=0.81s
[efficiency_mean] Epoch 087 | train=0.000136 | val=RMSE:391.72|MAE:352.06|MAPE:3.52% | epoch_time=0.79s
[efficiency_mean] Epoch 088 | train=0.000124 | val=RMSE:318.10|MAE:276.80|MAPE:2.77% | epoch_time=0.79s
[efficiency_mean] Epoch 089 | train=0.000127 | val=RMSE:365.93|MAE:324.18|MAPE:3.24% | epoch_time=0.79s
[efficiency_mean] Epoch 090 | train=0.000110 | val=RMSE:396.31|MAE:351.45|MAPE:3.51% | epoch_time=0.80s
[efficiency_mean] Epoch 091 | train=0.000118 | val=RMSE:344.04|MAE:301.36|MAPE:3.01% | epoch_time=0.79s
[efficiency_mean] Epoch 092 | train=0.000133 | val=RMSE:386.71|MAE:339.85|MAPE:3.39% | epoch_time=0.79s
[efficiency_mean] Epoch 093 | train=0.000154 | val=RMSE:373.59|MAE:331.13|MAPE:3.30% | epoch_time=0.79s
[efficiency_mean] Epoch 094 | train=0.000207 | val=RMSE:329.93|MAE:288.18|MAPE:2.88% | epoch_time=0.79s
[efficiency_mean] Epoch 095 | train=0.000179 | val=RMSE:363.66|MAE:318.92|MAPE:3.18% | epoch_time=0.79s
[efficiency_mean] Epoch 096 | train=0.000140 | val=RMSE:353.12|MAE:310.29|MAPE:3.10% | epoch_time=0.79s
[efficiency_mean] Epoch 097 | train=0.000140 | val=RMSE:416.66|MAE:377.28|MAPE:3.77% | epoch_time=0.79s
[efficiency_mean] Epoch 098 | train=0.000179 | val=RMSE:356.46|MAE:314.03|MAPE:3.14% | epoch_time=0.80s
[efficiency_mean] Epoch 099 | train=0.000122 | val=RMSE:385.26|MAE:341.40|MAPE:3.41% | epoch_time=0.80s
