Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
2022-10-20,14:30:00,,,Interest Rate Decision,4.75%,4.75%,4.25%
2022-10-20,18:04:00,,,Deposit Facility Rate (Oct),4.00%,4.00%,3.50%
2022-10-20,18:04:00,,,Lending Facility Rate (Oct),5.50%,5.50%,5.00%
2022-10-24,10:00:00,,,Foreign Direct Investment (YoY) (Q3),63.60%,,39.70%
2022-10-24,10:00:00,,,M2 Money Supply (YoY) (Sep),9.10%,,9.50%
2022-11-01,11:00:00,,,Core Inflation (YoY) (Oct),3.31%,3.40%,3.21%
2022-11-01,11:00:00,,,Inflation (YoY) (Oct),5.71%,5.99%,5.95%
2022-11-01,11:00:00,,,Inflation (MoM) (Oct),-0.11%,0.16%,1.17%
2022-11-07,11:00:00,,,FX Reserves (USD) (Oct),130.20B,,130.80B
2022-11-07,11:00:00,,,GDP (YoY) (Q3),5.72%,5.89%,5.45%
2022-11-07,11:00:00,,,GDP (QoQ) (Q3),1.81%,1.62%,3.72%
2022-11-08,10:00:00,,,Consumer Confidence (Oct),120.3,,117.2
2022-11-09,17:00:00,,,Retail Sales (YoY) (Sep),4.60%,,4.90%
2022-11-14,09:55:00,,,Motorbike Sales (YoY) (Oct),20.90%,,10.70%
2022-11-14,11:00:00,,,Car Sales (YoY) (Oct),23.34%,,18.90%
2022-11-15,11:00:00,,,Export Growth (YoY) (Oct),12.30%,13.85%,20.28%
2022-11-15,11:00:00,,,Import Growth (YoY) (Oct),17.44%,23.62%,22.02%
2022-11-15,11:00:00,,,Trade Balance (Oct),5.67B,4.50B,4.99B
2022-11-17,14:19:00,,,Loans (YoY) (Oct),11.95%,,11.00%
2022-11-17,14:25:00,,,Deposit Facility Rate (Nov),4.50%,4.50%,4.00%
2022-11-17,14:25:00,,,Lending Facility Rate (Nov),6.00%,5.75%,5.50%
2022-11-17,14:30:00,,,Interest Rate Decision,5.25%,,4.75%
2022-11-23,10:00:00,,,M2 Money Supply (YoY) (Oct),9.80%,,9.10%
2022-12-01,11:00:00,,,Core Inflation (YoY) (Nov),3.30%,3.40%,3.31%
2022-12-01,11:00:00,,,Inflation (YoY) (Nov),5.42%,5.50%,5.71%
2022-12-01,11:00:00,,,Inflation (MoM) (Nov),0.09%,0.16%,-0.11%
2022-12-07,11:00:00,,,FX Reserves (USD) (Nov),134.00B,,130.20B
2022-12-08,10:00:00,,,Consumer Confidence (Nov),119.1,,120.3
2022-12-09,10:00:00,,,Retail Sales (YoY) (Oct),3.70%,,4.60%
2022-12-12,11:00:00,,,Car Sales (YoY) (Nov),4.20%,,23.34%
2022-12-12,16:03:00,,,Motorbike Sales (YoY) (Nov),26.90%,,20.90%
2022-12-15,11:00:00,,,Export Growth (YoY) (Nov),5.58%,9.50%,12.30%
2022-12-15,11:00:00,,,Import Growth (YoY) (Nov),-1.89%,7.00%,17.44%
2022-12-15,11:00:00,,,Trade Balance (Nov),5.16B,4.26B,5.67B
2022-12-22,14:20:00,,,Loans (YoY) (Nov),11.16%,,11.95%
2022-12-22,14:25:00,,,Deposit Facility Rate (Dec),4.75%,4.75%,4.50%
2022-12-22,14:25:00,,,Lending Facility Rate (Dec),6.25%,6.25%,6.00%
2022-12-22,14:30:00,,,Interest Rate Decision,5.50%,,5.25%
2022-12-23,10:00:00,,,M2 Money Supply (YoY) (Nov),9.50%,,9.80%
2022-12-25,All Day,,,Indonesia - Christmas Day,,,
2023-01-02,11:00:00,,,Core Inflation (YoY) (Dec),3.36%,3.39%,3.30%
2023-01-02,11:00:00,,,Inflation (YoY) (Dec),5.51%,5.39%,5.42%
2023-01-02,11:00:00,,,Inflation (MoM) (Dec),0.66%,0.52%,0.09%
2023-01-06,11:00:00,,,FX Reserves (USD) (Dec),137.20B,,134.00B
2023-01-09,10:00:00,,,Consumer Confidence (Dec),119.9,,119.1
2023-01-09,11:00:00,,,FX Reserves (USD) (Dec),137.20B,,134.00B
2023-01-10,11:00:00,,,Retail Sales (YoY) (Nov),1.30%,,3.70%
2023-01-11,10:51:00,,,Motorbike Sales (YoY) (Dec),24.60%,,26.90%
2023-01-13,11:00:00,,,Car Sales (YoY) (Dec),9.00%,,4.20%
2023-01-16,11:00:00,,,Export Growth (YoY) (Dec),6.58%,6.65%,5.58%
2023-01-16,11:00:00,,,Import Growth (YoY) (Dec),-6.61%,-7.58%,-1.89%
2023-01-16,11:00:00,,,Trade Balance (Dec),3.89B,4.01B,5.16B
2023-01-19,14:20:00,,,Loans (YoY),11.35%,,11.16%
2023-01-19,14:27:00,,,Deposit Facility Rate (Jan),5.00%,5.00%,4.75%
