Trading Date,Open,High,Low,Close,Adj Close,Volume
2022-04-05 00:00:00+07:00,6825,6900,6725,6900,4952,28581200
2022-04-06 00:00:00+07:00,6825,7000,6800,7000,5023,48854700
2022-04-07 00:00:00+07:00,6950,7000,6850,6900,4952,41492600
2022-04-08 00:00:00+07:00,7000,7075,6900,7000,5023,55006300
2022-04-11 00:00:00+07:00,6975,7000,6750,6850,4916,51481700
2022-04-12 00:00:00+07:00,6875,6950,6825,6950,4988,41879800
2022-04-13 00:00:00+07:00,6950,7000,6875,6975,5005,52818100
2022-04-14 00:00:00+07:00,6975,7050,6875,6875,4934,23891600
2022-04-18 00:00:00+07:00,6900,7050,6900,7000,5023,32962100
2022-04-19 00:00:00+07:00,7050,7050,6800,6900,4952,29237600
2022-04-20 00:00:00+07:00,6900,6975,6825,6900,4952,39881900
2022-04-21 00:00:00+07:00,6925,7100,6900,7000,5023,51438900
2022-04-22 00:00:00+07:00,6975,7100,6875,7050,5059,39795300
2022-04-25 00:00:00+07:00,7050,7150,6875,7075,5077,52305700
2022-04-26 00:00:00+07:00,7100,7200,7000,7200,5167,39223700
2022-04-27 00:00:00+07:00,7175,7200,7050,7125,5113,34988500
2022-04-28 00:00:00+07:00,7250,7700,7225,7575,5436,118152200
2022-05-09 00:00:00+07:00,7425,7425,7050,7050,5192,81089600
2022-05-10 00:00:00+07:00,6650,7000,6625,7000,5155,118477400
2022-05-11 00:00:00+07:00,7025,7225,6900,6900,5082,71287600
2022-05-12 00:00:00+07:00,6900,7025,6725,6850,5045,45587500
2022-05-13 00:00:00+07:00,6900,7225,6850,7125,5247,73260300
2022-05-17 00:00:00+07:00,7250,7300,7000,7000,5155,40279200
2022-05-18 00:00:00+07:00,6975,7200,6925,7100,5229,44859900
2022-05-19 00:00:00+07:00,6925,7125,6850,7000,5155,27558300
2022-05-20 00:00:00+07:00,7050,7200,7050,7125,5247,37674800
2022-05-23 00:00:00+07:00,7125,7175,6825,6950,5119,46368600
2022-05-24 00:00:00+07:00,7025,7200,7025,7150,5266,52177200
2022-05-25 00:00:00+07:00,7100,7175,7050,7100,5229,51200500
2022-05-27 00:00:00+07:00,7200,7300,7150,7225,5321,34766600
2022-05-30 00:00:00+07:00,7275,7275,7125,7250,5340,37147800
2022-05-31 00:00:00+07:00,7250,7475,7250,7350,5413,90800300
2022-06-02 00:00:00+07:00,7300,7500,7250,7325,5395,72733400
2022-06-03 00:00:00+07:00,7350,7475,7300,7300,5376,43947400
2022-06-06 00:00:00+07:00,7200,7250,7075,7225,5321,53388400
2022-06-07 00:00:00+07:00,7300,7400,7200,7200,5303,54814500
2022-06-08 00:00:00+07:00,7150,7350,7150,7175,5284,33478600
2022-06-09 00:00:00+07:00,7150,7350,7150,7200,5303,37787500
2022-06-10 00:00:00+07:00,7100,7175,6925,6925,5100,57621000
2022-06-13 00:00:00+07:00,6900,7100,6725,7025,5174,59781700
2022-06-14 00:00:00+07:00,6875,7000,6875,6975,5137,38001800
2022-06-15 00:00:00+07:00,6975,6975,6700,6700,4934,50804600
2022-06-16 00:00:00+07:00,6850,6950,6750,6850,5045,74982600
2022-06-17 00:00:00+07:00,6675,6950,6675,6950,5119,63931400
2022-06-20 00:00:00+07:00,6950,6975,6750,6925,5100,44263700
2022-06-21 00:00:00+07:00,6900,6975,6850,6850,5045,31247000
2022-06-22 00:00:00+07:00,6850,6925,6775,6800,5008,35536800
2022-06-23 00:00:00+07:00,6850,6875,6750,6875,5063,30137200
2022-06-24 00:00:00+07:00,6900,6900,6650,6675,4916,42386000
2022-06-27 00:00:00+07:00,6700,6750,6550,6650,4898,48277300
2022-06-28 00:00:00+07:00,6650,6700,6600,6700,4934,36838200
2022-06-29 00:00:00+07:00,6625,6700,6500,6500,4787,46682700
2022-06-30 00:00:00+07:00,6525,6650,6500,6625,4879,52839200
2022-07-01 00:00:00+07:00,6675,6675,6500,6525,4806,52387100
2022-07-04 00:00:00+07:00,6500,6575,6300,6500,4787,43087400
2022-07-05 00:00:00+07:00,6500,6525,6325,6325,4658,39700000
2022-07-06 00:00:00+07:00,6300,6400,6050,6075,4474,67773900
2022-07-07 00:00:00+07:00,6025,6125,5900,5950,4382,62871600
2022-07-08 00:00:00+07:00,6025,6075,5950,5975,4401,78131700
2022-07-11 00:00:00+07:00,5975,6075,5925,6050,4456,49946600
2022-07-12 00:00:00+07:00,6050,6150,6050,6100,4493,22900800
2022-07-13 00:00:00+07:00,6100,6100,5825,5825,4290,56747900
2022-07-14 00:00:00+07:00,5825,6100,5825,6100,4493,59847700
2022-07-15 00:00:00+07:00,6000,6075,5925,5950,4382,32403800
2022-07-18 00:00:00+07:00,5975,6025,5950,6025,4437,27618400
2022-07-19 00:00:00+07:00,6025,6150,6025,6075,4474,50725600
2022-07-20 00:00:00+07:00,6175,6275,6100,6275,4621,70493600
2022-07-21 00:00:00+07:00,6200,6250,6050,6175,4548,55415500
2022-07-22 00:00:00+07:00,6175,6175,6050,6075,4474,37583800
2022-07-25 00:00:00+07:00,6050,6150,6050,6075,4474,24674200
2022-07-26 00:00:00+07:00,6100,6125,6075,6100,4493,21937400
2022-07-27 00:00:00+07:00,6125,6125,6000,6100,4493,35066000
2022-07-28 00:00:00+07:00,6125,6150,6025,6050,4456,51909300
2022-07-29 00:00:00+07:00,6150,6425,6125,6325,4658,150285200
2022-08-01 00:00:00+07:00,6425,6550,6350,6475,4769,55511700
2022-08-02 00:00:00+07:00,6475,6475,6275,6475,4769,53235100
2022-08-03 00:00:00+07:00,6450,6600,6375,6600,4861,40666300
2022-08-04 00:00:00+07:00,6700,6700,6450,6600,4861,66966300
2022-08-05 00:00:00+07:00,6600,6650,6475,6625,4879,46702100
2022-08-08 00:00:00+07:00,6625,6700,6525,6700,4934,32971000
2022-08-09 00:00:00+07:00,6725,6825,6700,6750,4971,61001700
2022-08-10 00:00:00+07:00,6775,6850,6600,6850,5045,37086500
2022-08-11 00:00:00+07:00,6975,7000,6900,6950,5119,42007400
2022-08-12 00:00:00+07:00,6950,7000,6850,6950,5119,58469000
2022-08-15 00:00:00+07:00,6925,6950,6800,6875,5063,35283300
2022-08-16 00:00:00+07:00,6875,7050,6875,6975,5137,61907800
2022-08-18 00:00:00+07:00,6975,7000,6850,6975,5137,25190000
2022-08-19 00:00:00+07:00,6975,7000,6900,6975,5137,32914500
2022-08-22 00:00:00+07:00,6875,6925,6800,6925,5100,48266600
2022-08-23 00:00:00+07:00,6900,7025,6850,6975,5137,56381000
2022-08-24 00:00:00+07:00,6925,7050,6900,7050,5192,30605000
2022-08-25 00:00:00+07:00,7050,7050,6950,6975,5137,22793800
2022-08-26 00:00:00+07:00,6975,7025,6850,6875,5063,31120500
2022-08-29 00:00:00+07:00,6800,6900,6750,6825,5027,29722100
2022-08-30 00:00:00+07:00,6850,7025,6850,6900,5082,45566100
2022-08-31 00:00:00+07:00,6875,6975,6775,6975,5137,55714900
2022-09-01 00:00:00+07:00,6975,7025,6900,6925,5100,36691900
