calendar_date,usd_idr
2021-10-02,14305.0
2021-10-03,14305.0
2021-10-04,14265.0
2021-10-05,14248.0
2021-10-06,14250.0
2021-10-07,14215.0
2021-10-08,14220.0
2021-10-09,14220.0
2021-10-10,14220.0
2021-10-11,14205.0
2021-10-12,14215.0
2021-10-13,14215.0
2021-10-14,14115.0
2021-10-15,14070.0
2021-10-16,14070.0
2021-10-17,14070.0
2021-10-18,14105.0
2021-10-19,14073.0
2021-10-20,14073.0
2021-10-21,14120.0
2021-10-22,14120.0
2021-10-23,14120.0
2021-10-24,14120.0
2021-10-25,14155.0
2021-10-26,14150.0
2021-10-27,14170.0
2021-10-28,14170.0
2021-10-29,14165.0
2021-10-30,14165.0
2021-10-31,14165.0
2021-11-01,14245.0
2021-11-02,14250.0
2021-11-03,14295.0
2021-11-04,14335.0
2021-11-05,14325.0
2021-11-06,14325.0
2021-11-07,14325.0
2021-11-08,14255.0
2021-11-09,14240.0
2021-11-10,14250.0
2021-11-11,14260.0
2021-11-12,14233.0
2021-11-13,14233.0
2021-11-14,14233.0
2021-11-15,14210.0
2021-11-16,14220.0
2021-11-17,14240.0
2021-11-18,14225.0
2021-11-19,14235.0
2021-11-20,14235.0
2021-11-21,14235.0
2021-11-22,14245.0
2021-11-23,14255.0
2021-11-24,14255.0
2021-11-25,14265.0
2021-11-26,14300.0
2021-11-27,14300.0
2021-11-28,14300.0
2021-11-29,14320.0
2021-11-30,14320.0
2021-12-01,14340.0
2021-12-02,14375.0
2021-12-03,14395.0
2021-12-04,14395.0
2021-12-05,14395.0
2021-12-06,14435.0
2021-12-07,14375.0
2021-12-08,14355.0
2021-12-09,14350.0
2021-12-10,14370.0
2021-12-11,14370.0
2021-12-12,14370.0
2021-12-13,14340.0
2021-12-14,14330.0
2021-12-15,14330.0
2021-12-16,14340.0
2021-12-17,14365.0
2021-12-18,14365.0
2021-12-19,14365.0
2021-12-20,14375.0
2021-12-21,14313.0
2021-12-22,14285.0
2021-12-23,14247.0
2021-12-24,14220.0
2021-12-25,14220.0
2021-12-26,14220.0
2021-12-27,14225.0
2021-12-28,14225.0
2021-12-29,14250.0
2021-12-30,14265.0
2021-12-31,14250.0
2022-01-01,14250.0
2022-01-02,14250.0
2022-01-03,14264.0
2022-01-04,14300.0
2022-01-05,14355.0
2022-01-06,14390.0
2022-01-07,14355.0
2022-01-08,14355.0
2022-01-09,14355.0
2022-01-10,14305.0
2022-01-11,14300.0
2022-01-12,14315.0
2022-01-13,14290.0
2022-01-14,14295.0
2022-01-15,14295.0
2022-01-16,14295.0
2022-01-17,14315.0
2022-01-18,14335.0
2022-01-19,14360.0
2022-01-20,14335.0
2022-01-21,14335.0
2022-01-22,14335.0
2022-01-23,14335.0
2022-01-24,14340.0
2022-01-25,14350.0
2022-01-26,14350.0
2022-01-27,14385.0
2022-01-28,14385.0
2022-01-29,14385.0
2022-01-30,14385.0
2022-01-31,14380.0
2022-02-01,14380.0
2022-02-02,14355.0
2022-02-03,14375.0
2022-02-04,14378.0
2022-02-05,14378.0
2022-02-06,14378.0
2022-02-07,14395.0
2022-02-08,14390.0
2022-02-09,14355.0
2022-02-10,14340.0
2022-02-11,14350.0
2022-02-12,14350.0
2022-02-13,14350.0
2022-02-14,14325.0
2022-02-15,14300.0
2022-02-16,14255.0
2022-02-17,14315.0
2022-02-18,14325.0
2022-02-19,14325.0
2022-02-20,14325.0
2022-02-21,14325.0
2022-02-22,14361.0
2022-02-23,14335.0
2022-02-24,14380.0
2022-02-25,14365.0
2022-02-26,14365.0
2022-02-27,14365.0
2022-02-28,14365.0
2022-03-01,14335.0
2022-03-02,14385.0
2022-03-03,14385.0
2022-03-04,14385.0
2022-03-05,14385.0
2022-03-06,14385.0
2022-03-07,14405.0
2022-03-08,14395.0
2022-03-09,14345.0
2022-03-10,14275.0
2022-03-11,14300.0
2022-03-12,14300.0
2022-03-13,14300.0
2022-03-14,14330.0
2022-03-15,14325.0
2022-03-16,14310.0
2022-03-17,14300.0
2022-03-18,14340.0
2022-03-19,14340.0
2022-03-20,14340.0
2022-03-21,14338.0
2022-03-22,14356.0
2022-03-23,14345.0
2022-03-24,14344.0
2022-03-25,14340.0
2022-03-26,14340.0
2022-03-27,14340.0
2022-03-28,14362.0
2022-03-29,14363.0
2022-03-30,14340.0
2022-03-31,14368.0
2022-04-01,14365.0
2022-04-02,14365.0
2022-04-03,14365.0
2022-04-04,14353.0
2022-04-05,14345.0
2022-04-06,14355.0
2022-04-07,14358.0
2022-04-08,14360.0
2022-04-09,14360.0
2022-04-10,14360.0
2022-04-11,14365.0
2022-04-12,14360.0
2022-04-13,14362.0
2022-04-14,14343.0
2022-04-15,14343.0
2022-04-16,14343.0
2022-04-17,14343.0
2022-04-18,14353.0
2022-04-19,14335.0
2022-04-20,14355.0
2022-04-21,14343.0
2022-04-22,14356.0
2022-04-23,14356.0
2022-04-24,14356.0
2022-04-25,14455.0
2022-04-26,14410.0
2022-04-27,14420.0
2022-04-28,14495.0
2022-04-29,14495.0
2022-04-30,14495.0
