Trading Date,Open,High,Low,Close,Volume,Bid Volume,Offer Volume,Foreign Sell,Foreign Buy
2022-07-13,9300,9400,9225,9300,6786200,4900,111100,3774800,3878300
2022-07-14,9225,9300,9150,9250,5480200,20100,1681500,2649100,2861800
2022-07-15,9200,9425,9200,9350,5190200,100,178000,2536400,1606700
2022-07-18,9350,9500,9200,9500,4903100,6000,247400,1441800,2470100
2022-07-19,9500,9500,9350,9450,4373500,52100,1057600,2140700,2226900
2022-07-20,9400,9500,9400,9450,7280900,51400,127600,2700300,4629500
2022-07-21,9450,9500,9325,9500,5238400,600,1355400,1486200,3454700
2022-07-22,9500,9600,9400,9400,4172000,65700,800,1758400,1548300
2022-07-25,9400,9500,9400,9450,2168900,19800,2661200,677000,686700
2022-07-26,9450,9450,9275,9375,3983700,100,27500,1272700,1978400
2022-07-27,9375,9375,9200,9275,6584100,286900,79000,1793500,2941300
2022-07-28,9250,9250,8875,8975,36869300,797100,272100,7312700,9871100
2022-07-29,8950,8975,8775,8825,15100400,407200,20300,5878700,10628200
2022-08-01,8850,8975,8825,8900,5969300,41300,57900,2267900,3320800
2022-08-02,8750,8975,8700,8975,8753600,100,147800,4262100,1479300
2022-08-03,8950,8950,8725,8800,8093600,20100,105000,2801800,3904000
2022-08-04,8850,8925,8700,8925,5982900,11800,206500,1432600,4285200
2022-08-05,8925,8950,8750,8800,5847300,11200,671000,1454900,2552500
2022-08-08,8800,8925,8750,8800,5381600,55300,39600,542800,2771700
2022-08-09,8750,8800,8625,8725,9512100,6300,17500,1058600,4618200
2022-08-10,8700,8725,8500,8725,9132000,2000,91000,777600,5115600
2022-08-11,8800,8875,8700,8875,8299700,2800,1478900,1756100,5297500
2022-08-12,8900,8900,8650,8675,12595700,439900,49200,1715100,7915200
2022-08-15,8700,8875,8675,8875,7725900,54300,167700,1002600,4651800
2022-08-16,8875,8900,8675,8750,6877200,4400,77300,1595600,3202500
2022-08-18,8750,8850,8675,8775,4612700,100,78300,853900,2987200
2022-08-19,8775,8800,8700,8700,2671500,295100,1100,525000,1024800
2022-08-22,8700,8750,8600,8725,6545700,158700,106400,397900,5287400
2022-08-23,8775,8850,8750,8800,4274600,217200,66800,1272900,1524400
2022-08-24,8800,8825,8700,8775,4350700,1100,102200,1406200,2640500
2022-08-25,8825,8825,8725,8775,3658400,973600,103300,1404600,2035400
2022-08-26,8775,8800,8700,8725,3573500,6600,42200,1624900,2456200
2022-08-29,8675,8850,8650,8850,3231600,2100,503600,1193100,1891400
2022-08-30,8850,8875,8725,8725,4786300,1020000,2600,3548900,2679900
2022-08-31,8125,8425,8125,8300,40179900,1827100,800,8585400,13236400
2022-09-01,8300,8725,8300,8700,22199800,6900,518600,4438400,12777300
2022-09-02,8700,8725,8575,8725,7227900,35100,165000,3682600,6083300
2022-09-05,8700,8725,8600,8700,7694000,4100,170000,4635500,6421000
2022-09-06,8700,8775,8600,8650,7694000,4100,170000,4635500,6421000
2022-09-07,8600,8650,8500,8550,6989300,15100,38900,3228700,3978200
2022-09-08,8550,8600,8500,8525,2567400,45700,3000,1785800,1446000
2022-09-09,8525,8550,8425,8450,2567400,45700,3000,1785800,1446000
2022-09-12,8450,8600,8450,8600,3479000,100,304400,1782300,1562800
2022-09-13,8600,8600,8500,8525,5413000,84200,28000,2174200,2852100
2022-09-14,8475,8600,8475,8525,5413000,84200,28000,2174200,2852100
2022-09-15,8600,8650,8525,8600,6959000,117800,83300,3173800,5858100
2022-09-16,8600,8650,8525,8650,13190200,700,133800,10475800,10849800
2022-09-19,8625,8775,8575,8700,4445400,90400,2200,1728800,2102000
2022-09-20,8700,8900,8700,8875,6978300,334700,64900,1848500,4786700
2022-09-21,8900,8900,8700,8700,4979500,192500,2300,3626400,2517100
2022-09-22,8700,8825,8675,8825,3474200,1000,7200,2207700,1515400
2022-09-23,8850,9000,8775,9000,7310000,1100,1014500,1720400,5883100
2022-09-26,8975,9100,8850,9075,11479900,1600,294900,2118700,4496700
2022-09-27,9075,9075,8850,8850,8523700,100900,16700,4920300,2645300
2022-09-28,8850,8950,8800,8800,3243300,525700,2200,1706300,1451500
2022-09-29,8800,8875,8750,8850,4652900,3300,59000,2597000,3592400
2022-09-30,8850,8875,8600,8650,8292000,600,300,4745100,4071200
2022-10-03,8650,8750,8625,8725,3692900,23600,162300,2359200,999300
2022-10-04,8725,8775,8475,8525,7330500,32100,28100,3338300,2878200
2022-10-05,8550,8725,8525,8650,3838300,46900,10500,797200,1581300
2022-10-06,8650,8875,8650,8825,4286500,1000,259900,1806500,598500
2022-10-07,8825,8900,8750,8900,3913000,5400,424200,1716900,1266800
2022-10-10,8900,8950,8850,8950,5712500,1200,4400,1795900,3010000
2022-10-11,8925,9000,8850,9000,3055500,1200,293100,620900,1816600
2022-10-12,9000,9000,8875,8950,3055500,1200,293100,620900,1816600
2022-10-13,8925,8950,8800,8850,3106000,3700,156600,1852100,1751500
2022-10-14,8850,8850,8700,8700,2835200,162800,133900,1534100,1938300
2022-10-17,8700,8825,8575,8825,3735500,1100,109900,1539700,2564100
2022-10-18,8825,8950,8775,8950,4606600,2400,130600,2300900,2652300
2022-10-19,8950,9150,8825,9125,4606600,2400,130600,2300900,2652300
2022-10-20,9100,9500,9100,9500,11282000,100,1641000,2184300,6449500
2022-10-21,9300,9475,9300,9425,12299200,465200,212600,2434400,5739600
2022-10-24,9500,9525,9350,9425,7596200,592800,844400,683800,6077400
2022-10-25,9425,9525,9400,9525,10573100,900,212500,725500,7356100
2022-10-26,9525,9800,9475,9800,20072800,500,1731700,2202800,14853900
2022-10-27,9775,9900,9700,9825,9995800,142900,1000,1684000,6119200
2022-10-28,9900,9900,9775,9800,9409600,246500,244000,1178200,5279400
2022-10-31,9825,9900,9625,9725,11148600,700,674600,2271600,7684900
2022-11-01,9725,9725,9350,9500,10194300,1400,53200,2670100,7654500
2022-11-02,9525,9675,9500,9600,5350300,1100,131300,717200,4537700
2022-11-03,9600,9650,9475,9550,4266200,5000,276100,1391300,1966500
2022-11-04,9525,9650,9375,9650,4266200,5000,276100,1391300,1966500
2022-11-07,9725,9775,9650,9750,7780900,500,114100,1287800,4181600
2022-11-08,9750,9750,9650,9750,1954100,200,1751100,776300,983300
2022-11-09,9750,9775,9700,9750,5760500,107100,101200,1461600,2673700
2022-11-10,9750,9775,9700,9725,3322200,1800,481100,830300,1895900
2022-11-11,9800,9900,9600,9850,8391000,1200,76400,1134500,3152800
2022-11-14,9850,9850,9725,9750,2602300,15500,22500,1640000,1078400
2022-11-15,9750,9825,9725,9800,2602300,15500,22500,1640000,1078400
2022-11-16,9800,9800,9600,9775,3665800,500,224300,2239500,2649200
2022-11-17,9750,9800,9600,9675,3763500,322800,126100,1685500,2361100
2022-11-18,9675,9775,9500,9650,3351200,300,356800,1105600,2511000
2022-11-22,9800,9850,9650,9650,2625200,67500,4600,1023400,1099900
2022-11-23,9650,9900,9650,9900,2625200,67500,4600,1023400,1099900
2022-11-24,9900,9900,9775,9800,2966200,151800,21800,765500,775200
2022-11-25,9800,9900,9700,9900,5124400,100,194700,1181400,3044200
2022-11-28,9900,10000,9825,9975,7340800,100,304500,3086800,2525800
2022-11-29,10000,10000,9900,9975,4545300,600,54600,263300,2535600
2022-11-30,9975,10100,9900,10100,14485500,50200,205800,2571300,8950900
2022-12-01,10100,10175,9975,10150,10451400,100,298800,2593400,3055000
2022-12-02,10150,10200,10025,10200,7169600,1700,1954300,939900,3867200
2022-12-05,10175,10350,10100,10350,7237800,100,892500,1352600,3393700
2022-12-06,10275,10350,10150,10350,4252000,1500,373100,1027600,1744700
2022-12-07,10350,10350,10075,10325,4711200,700,89400,2682100,1951100
