-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::tril         0.03%       2.152ms         0.03%       2.152ms       2.446us         880 B         880 B           880  
                                             aten::full         0.03%       2.089ms         0.05%       3.442ms       3.187us       4.22 KB           4 B          1080  
                                           CatBackward0         0.03%       2.080ms         0.15%       9.823ms      11.162us           0 B           0 B           880  
                                           AddBackward0         0.03%       2.048ms         0.03%       2.048ms       0.388us           0 B           0 B          5280  
                                       aten::zeros_like         0.03%       2.011ms         0.07%       4.710ms       3.568us       3.48 MB           0 B          1320  
                                               aten::eq         0.03%       1.976ms         0.03%       1.976ms       3.658us         540 B         540 B           540  
                                       SoftmaxBackward0         0.03%       1.805ms         0.19%      12.269ms      13.942us      53.17 MB           0 B           880  
                                            aten::clamp         0.03%       1.757ms         0.03%       1.800ms       4.090us       1.72 KB       1.72 KB           440  
                                             aten::ones         0.03%       1.725ms         0.05%       3.068ms       3.487us         880 B           9 B           880  
                                       aten::reciprocal         0.03%       1.657ms         0.03%       1.657ms       3.765us       1.72 KB       1.72 KB           440  
                                 aten::sigmoid_backward         0.03%       1.656ms         0.03%       1.656ms       3.764us       1.72 MB       1.72 MB           440  
                                       MseLossBackward0         0.03%       1.644ms         0.11%       7.089ms      16.111us      54.88 KB           0 B           440  
                                             aten::mean         0.03%       1.642ms         0.12%       7.565ms      17.193us           0 B        -600 B           440  
autograd::engine::evaluate_function: MseLossBackward...         0.02%       1.516ms         0.13%       8.605ms      19.558us      54.88 KB           0 B           440  
                                         SliceBackward0         0.02%       1.403ms         0.16%      10.112ms      11.491us       3.43 MB           0 B           880  
    autograd::engine::evaluate_function: SliceBackward0         0.02%       1.398ms         0.18%      11.510ms      13.080us           0 B      -3.43 MB           880  
                                  ReshapeAliasBackward0         0.02%       1.257ms         0.06%       3.872ms       2.200us           0 B           0 B          1760  
                                aten::new_empty_strided         0.02%       1.168ms         0.03%       1.819ms       4.134us           0 B           0 B           440  
                                              aten::abs         0.02%       1.141ms         0.02%       1.141ms       2.594us           0 B           0 B           440  
                                aten::broadcast_tensors         0.01%     961.625us         0.01%     961.625us       2.186us           0 B           0 B           440  
                                       SigmoidBackward0         0.01%     930.155us         0.04%       2.586ms       5.878us       1.72 MB           0 B           440  
                                        aten::ones_like         0.01%     858.636us         0.04%       2.748ms       6.246us       1.72 KB           0 B           440  
autograd::engine::evaluate_function: SigmoidBackward...         0.01%     847.016us         0.05%       3.433ms       7.803us      -1.72 MB      -3.43 MB           440  
                                         CloneBackward0         0.01%     807.514us         0.01%     807.514us       0.306us           0 B           0 B          2640  
                                       aten::is_nonzero         0.01%     637.173us         0.02%       1.614ms       2.989us           0 B           0 B           540  
                                          aten::view_as         0.01%     528.808us         0.01%     894.759us       1.657us           0 B           0 B           540  
                                         aten::randperm         0.01%     409.420us         0.01%     857.686us      21.442us     219.53 KB        -160 B            40  
                              aten::cudnn_is_acceptable         0.01%     328.507us         0.01%     328.507us       0.608us           0 B           0 B           540  
                                          aten::random_         0.00%     166.357us         0.00%     166.357us       8.318us           0 B           0 B            20  
                                      aten::resolve_neg         0.00%      21.360us         0.00%      21.360us       0.097us           0 B           0 B           220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.496s
