-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::sigmoid         0.04%       2.923ms         0.04%       2.923ms       5.414us       2.08 MB       2.08 MB           540  
                                     UnsqueezeBackward0         0.04%       2.666ms         0.15%      10.184ms       3.307us           0 B           0 B          3080  
                                             aten::triu         0.04%       2.645ms         0.04%       2.645ms       2.449us       4.22 KB       4.22 KB          1080  
autograd::engine::evaluate_function: PermuteBackward...         0.04%       2.635ms         0.15%       9.849ms       5.596us           0 B           0 B          1760  
                                       aten::contiguous         0.04%       2.582ms         1.28%      84.696ms      31.369us     324.87 MB           0 B          2700  
                                           MulBackward1         0.04%       2.556ms         0.72%      47.830ms      13.588us     113.20 MB      -4.04 KB          3520  
                                SplitWithSizesBackward0         0.04%       2.510ms         0.15%       9.884ms       5.616us      10.63 MB           0 B          1760  
autograd::engine::evaluate_function: ReshapeAliasBac...         0.04%       2.423ms         0.10%       6.323ms       3.592us           0 B           0 B          1760  
autograd::engine::evaluate_function: SoftmaxBackward...         0.04%       2.347ms         0.22%      14.465ms      16.438us     -53.17 MB    -106.34 MB           880  
                                             aten::tril         0.04%       2.329ms         0.04%       2.329ms       2.646us         880 B         880 B           880  
                                               aten::eq         0.03%       2.194ms         0.03%       2.194ms       4.064us         540 B         540 B           540  
                                       PermuteBackward0         0.03%       2.186ms         0.11%       7.213ms       4.099us           0 B           0 B          1760  
                                           CatBackward0         0.03%       2.167ms         0.15%      10.082ms      11.457us           0 B           0 B           880  
                                             aten::full         0.03%       2.165ms         0.05%       3.539ms       3.277us       4.22 KB           0 B          1080  
                                           AddBackward0         0.03%       2.086ms         0.03%       2.086ms       0.395us           0 B           0 B          5280  
                                       aten::zeros_like         0.03%       2.058ms         0.07%       4.808ms       3.643us       3.48 MB           0 B          1320  
                                       aten::reciprocal         0.03%       2.017ms         0.03%       2.017ms       4.584us       1.72 KB       1.72 KB           440  
                                            aten::clamp         0.03%       1.941ms         0.03%       1.984ms       4.509us       1.72 KB       1.72 KB           440  
                                       SoftmaxBackward0         0.03%       1.908ms         0.18%      12.118ms      13.771us      53.17 MB           0 B           880  
                                 aten::sigmoid_backward         0.03%       1.892ms         0.03%       1.892ms       4.299us       1.72 MB       1.72 MB           440  
                                             aten::ones         0.03%       1.886ms         0.05%       3.338ms       3.793us         880 B          16 B           880  
                                             aten::mean         0.03%       1.875ms         0.12%       7.896ms      17.944us           0 B        -696 B           440  
                                       MseLossBackward0         0.03%       1.734ms         0.11%       7.577ms      17.221us      54.88 KB           0 B           440  
                                aten::new_empty_strided         0.02%       1.651ms         0.04%       2.491ms       2.830us           0 B           0 B           880  
autograd::engine::evaluate_function: MseLossBackward...         0.02%       1.548ms         0.14%       9.125ms      20.739us      54.88 KB           0 B           440  
                                         SliceBackward0         0.02%       1.523ms         0.16%      10.292ms      11.696us       3.43 MB           0 B           880  
    autograd::engine::evaluate_function: SliceBackward0         0.02%       1.472ms         0.18%      11.764ms      13.368us           0 B      -3.43 MB           880  
                                              aten::abs         0.02%       1.267ms         0.02%       1.267ms       2.880us           0 B           0 B           440  
                                  ReshapeAliasBackward0         0.02%       1.260ms         0.06%       3.899ms       2.216us           0 B           0 B          1760  
                                aten::broadcast_tensors         0.02%       1.031ms         0.02%       1.031ms       2.343us           0 B           0 B           440  
                                       SigmoidBackward0         0.02%       1.007ms         0.04%       2.899ms       6.589us       1.72 MB           0 B           440  
                                        aten::ones_like         0.02%       1.005ms         0.05%       2.983ms       6.781us       1.72 KB           0 B           440  
autograd::engine::evaluate_function: SigmoidBackward...         0.01%     934.935us         0.06%       3.834ms       8.714us      -1.72 MB      -3.43 MB           440  
                                         CloneBackward0         0.01%     840.609us         0.01%     840.609us       0.318us           0 B           0 B          2640  
                                       aten::is_nonzero         0.01%     660.631us         0.03%       1.693ms       3.136us           0 B           0 B           540  
                                          aten::view_as         0.01%     538.665us         0.01%     882.028us       1.633us           0 B           0 B           540  
                                         aten::randperm         0.01%     431.985us         0.01%     897.375us      22.434us     219.53 KB        -160 B            40  
                              aten::cudnn_is_acceptable         0.01%     412.001us         0.01%     412.001us       0.763us           0 B           0 B           540  
                                          aten::random_         0.00%     157.626us         0.00%     157.626us       7.881us           0 B           0 B            20  
                                      aten::resolve_neg         0.00%      20.819us         0.00%      20.819us       0.095us           0 B           0 B           220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.607s
