[train_mean][TFT efficiency] Running on device: cpu
[train_mean][TFT efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_mean] Epoch 016 | train=0.034615 | val=RMSE:1798.81|MAE:1668.98|MAPE:14.73% | epoch_time=0.47s
[efficiency_mean] Epoch 017 | train=0.034430 | val=RMSE:1756.43|MAE:1623.22|MAPE:14.32% | epoch_time=0.47s
[efficiency_mean] Epoch 018 | train=0.034421 | val=RMSE:1867.89|MAE:1743.22|MAPE:15.40% | epoch_time=0.48s
[efficiency_mean] Epoch 019 | train=0.034493 | val=RMSE:1797.52|MAE:1667.60|MAPE:14.72% | epoch_time=0.47s
[efficiency_mean] Epoch 020 | train=0.034266 | val=RMSE:1793.63|MAE:1663.40|MAPE:14.68% | epoch_time=0.47s
[efficiency_mean] Epoch 021 | train=0.034038 | val=RMSE:1791.23|MAE:1660.82|MAPE:14.66% | epoch_time=0.48s
[efficiency_mean] Epoch 022 | train=0.034244 | val=RMSE:1824.18|MAE:1696.30|MAPE:14.98% | epoch_time=0.47s
[efficiency_mean] Epoch 023 | train=0.034392 | val=RMSE:1770.29|MAE:1638.21|MAPE:14.45% | epoch_time=0.47s
[efficiency_mean] Epoch 024 | train=0.034277 | val=RMSE:1822.01|MAE:1693.97|MAPE:14.95% | epoch_time=0.47s
[efficiency_mean] Epoch 025 | train=0.034472 | val=RMSE:1758.89|MAE:1625.88|MAPE:14.34% | epoch_time=0.47s
[efficiency_mean] Epoch 026 | train=0.034397 | val=RMSE:1791.83|MAE:1661.46|MAPE:14.66% | epoch_time=0.48s
[efficiency_mean] Epoch 027 | train=0.034367 | val=RMSE:1799.77|MAE:1670.02|MAPE:14.74% | epoch_time=0.47s
[efficiency_mean] Epoch 028 | train=0.034174 | val=RMSE:1749.76|MAE:1616.00|MAPE:14.25% | epoch_time=0.48s
[efficiency_mean] Epoch 029 | train=0.034267 | val=RMSE:1768.70|MAE:1636.49|MAPE:14.44% | epoch_time=0.47s
[efficiency_mean] Epoch 030 | train=0.034223 | val=RMSE:1800.34|MAE:1670.64|MAPE:14.74% | epoch_time=0.48s
[efficiency_mean] Epoch 031 | train=0.034272 | val=RMSE:1779.60|MAE:1648.27|MAPE:14.54% | epoch_time=0.47s
[efficiency_mean] Epoch 032 | train=0.034269 | val=RMSE:1778.00|MAE:1646.54|MAPE:14.53% | epoch_time=0.47s
[efficiency_mean] Epoch 033 | train=0.034329 | val=RMSE:1777.65|MAE:1646.16|MAPE:14.52% | epoch_time=0.47s
[efficiency_mean] Epoch 034 | train=0.034318 | val=RMSE:1810.81|MAE:1681.92|MAPE:14.85% | epoch_time=0.48s
[efficiency_mean] Epoch 035 | train=0.034265 | val=RMSE:1782.31|MAE:1651.19|MAPE:14.57% | epoch_time=0.47s
[efficiency_mean] Epoch 036 | train=0.034205 | val=RMSE:1765.91|MAE:1633.48|MAPE:14.41% | epoch_time=0.48s
