[train_close][TCN efficiency] Running on device: cpu
[train_close][TCN efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 085 | train=0.000309 | val=RMSE:351.38|MAE:315.63|MAPE:10.24% | epoch_time=0.71s
[efficiency_close] Epoch 086 | train=0.000260 | val=RMSE:365.65|MAE:330.04|MAPE:10.70% | epoch_time=0.71s
[efficiency_close] Epoch 087 | train=0.000291 | val=RMSE:331.80|MAE:305.08|MAPE:9.79% | epoch_time=0.71s
[efficiency_close] Epoch 088 | train=0.000455 | val=RMSE:327.46|MAE:302.63|MAPE:9.67% | epoch_time=0.71s
[efficiency_close] Epoch 089 | train=0.000379 | val=RMSE:336.41|MAE:305.50|MAPE:9.85% | epoch_time=0.72s
[efficiency_close] Epoch 090 | train=0.000387 | val=RMSE:339.51|MAE:312.17|MAPE:10.03% | epoch_time=0.72s
[efficiency_close] Epoch 091 | train=0.000506 | val=RMSE:349.39|MAE:318.19|MAPE:10.27% | epoch_time=0.72s
[efficiency_close] Epoch 092 | train=0.000494 | val=RMSE:332.50|MAE:301.87|MAPE:9.76% | epoch_time=0.72s
[efficiency_close] Epoch 093 | train=0.000502 | val=RMSE:350.97|MAE:320.41|MAPE:10.33% | epoch_time=0.72s
[efficiency_close] Epoch 094 | train=0.000483 | val=RMSE:329.24|MAE:300.28|MAPE:9.67% | epoch_time=0.71s
[efficiency_close] Epoch 095 | train=0.000430 | val=RMSE:349.96|MAE:314.00|MAPE:10.20% | epoch_time=0.72s
[efficiency_close] Epoch 096 | train=0.000332 | val=RMSE:335.03|MAE:305.54|MAPE:9.84% | epoch_time=0.72s
[efficiency_close] Epoch 097 | train=0.000267 | val=RMSE:324.51|MAE:293.64|MAPE:9.49% | epoch_time=0.71s
[efficiency_close] Epoch 098 | train=0.000314 | val=RMSE:357.67|MAE:322.60|MAPE:10.46% | epoch_time=0.72s
[efficiency_close] Epoch 099 | train=0.000355 | val=RMSE:322.89|MAE:297.11|MAPE:9.53% | epoch_time=0.72s
[efficiency_close] Epoch 100 | train=0.000203 | val=RMSE:336.80|MAE:304.40|MAPE:9.86% | epoch_time=0.72s
Saved loss curves: TLKM_close_training_loss_curve.png, TLKM_close_validation_rmse_curve.png
================================================================================
Run timestamp: 2025-11-11 03:59:21
Ticker: TLKM
[efficiency_close] Done. Total elapsed: 131.75s
[efficiency_close] Test RMSE=501.06 MAE=452.95 MAPE=17.41%
[train_close][TCN efficiency] Done on device: cpu
[save_metrics] Final metrics in: /home/ubuntu/skripsi_2602214545/tcn/efficiency/results/metrics
[save_metrics] Files: TLKM_close_val_metrics.(json|txt), TLKM_close_test_metrics.(json|txt)
================================================================================

